artist,album,track_name,track_id,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,country,continent,popularity
Gareth.T,雪不完的浪漫,雪不完的浪漫,0bGz5wNK3CjMnR69UChJav,0.548,0.576,0,-8.467,1,0.163,0.0,0.406,0.667,205.958,181841,4,HKG,ASIA,57.0
Terence Lam,SEVEN,神奇的糊塗魔藥,7MresghYfws5S4JG5Fcl4e,0.509,0.709,2,-8.361,1,0.0477,2.55e-05,0.356,0.631,91.014,203259,4,HKG,ASIA,53.0
Hins Cheung,On my way,On my way,79letQC8rVM851Cz2ORR0z,0.309,0.411,7,-7.642,1,0.045,0.0,0.11,0.235,86.766,315756,4,HKG,ASIA,58.0
Anson Kong 江𤒹生,三個字,三個字,524AUGUhR1F8SRiumM4T5e,0.436,0.729,1,-5.602,1,0.031,0.0,0.0823,0.323,157.992,226139,4,HKG,ASIA,59.0
Kaho Hung,逆時車站,逆時車站,2EU1uVEUCgSA5aiBiHJDAk,0.53,0.405,0,-7.644,1,0.0293,0.0,0.108,0.393,139.641,200162,4,HKG,ASIA,58.0
Tyson Yoshi,december,december,6Y6PjsfnxsIsH6gzPOxqbY,0.72,0.631,9,-5.832,1,0.083,0.0,0.129,0.847,143.946,141680,4,HKG,ASIA,58.0
Terence Lam,SEVEN,時光倒流一句話,1V7V9ekndGc7vqE3hVUKmA,0.518,0.449,2,-9.659,1,0.032,0.00178,0.207,0.382,133.886,254009,4,HKG,ASIA,52.0
AGA,理性與任性之間,理性與任性之間,2sQ1tPY9JSeBbmEefD8kir,0.425,0.513,6,-6.805,1,0.0282,0.0,0.112,0.314,126.844,307874,4,HKG,ASIA,58.0
MC $oho & KidNey,跌嘢唔好搵,跌嘢唔好搵,06bzWBi4FyF85A57GlV4H8,0.692,0.731,8,-7.158,0,0.0542,0.000208,0.201,0.519,76.999,191886,4,HKG,ASIA,57.0
La Pantera,"Cayó La Noche (feat. Cruz Cafuné, Abhir Hathi, Bejo, EL IMA) [Remix]","Cayó La Noche (feat. Cruz Cafuné, Abhir Hathi, Bejo, EL IMA) [Remix]",0Bv7O6fmZk3GrNQFYJaXPn,0.672,0.745,5,-5.269,0,0.3,9.29e-06,0.0699,0.739,173.974,413111,4,ESP,EU,74.0
Morad,Pelele,Pelele,5h5TUj8pU2WhdSeJx9BnX2,0.83,0.698,1,-5.549,0,0.163,0.00065,0.0761,0.825,144.929,216828,4,ESP,EU,82.0
Bizarrap,"Morad: Bzrp Music Sessions, Vol. 47","Morad: Bzrp Music Sessions, Vol. 47",39yyHtQ4tkjZzd8TfIBKQw,0.77,0.859,0,-4.526,0,0.0429,0.00339,0.103,0.548,122.042,177583,4,ESP,EU,84.0
Aitana,Formentera,Formentera,3nfICwo20uiFdEGzgNUSrG,0.781,0.645,1,-4.136,0,0.0399,1.58e-06,0.226,0.803,128.007,207333,4,ESP,EU,81.0
Chema Rivas,Algodón de azúcar,Algodón de azúcar,6CHYyL3462Y2Bb2uWIIBkE,0.785,0.732,1,-3.976,0,0.0377,0.0,0.298,0.64,99.967,168000,4,ESP,EU,71.0
C. Tangana,Ateo,Ateo,5xiAfKzE3mbxYbOkUZPR11,0.826,0.74,1,-4.45,0,0.0368,2.59e-05,0.175,0.733,130.025,239925,4,ESP,EU,82.0
Jhay Cortez,Timelezz,Dile (Homenaje),073yIM7v2j6XadD4Nkn0Fh,0.764,0.745,5,-4.563,0,0.0475,0.0,0.172,0.727,93.013,228933,4,ESP,EU,81.0
Ana Mena,Música Ligera,Música Ligera,1lMuQJHBznRfq7GdQrIQN4,0.695,0.752,5,-4.681,0,0.0281,0.0,0.227,0.633,120.031,235996,4,ESP,EU,75.0
Cano,Tu Y Yo (feat. Los del Control),Tu Y Yo (feat. Los del Control),5pVEORKrVAtcWOEMJlZCFB,0.691,0.785,2,-7.022,0,0.0854,0.0,0.115,0.553,105.096,178298,4,ESP,EU,77.0
Duki,She Don't Give a Fo,She Don't Give a Fo,03a359wbiUsjN9h6yzXvmS,0.854,0.556,1,-4.49,1,0.14,0.0,0.165,0.342,119.938,209531,4,ESP,EU,82.0
Myke Towers,Experimento,Experimento,6c32C8T3KlXrbvWSoD5aON,0.805,0.806,6,-3.589,0,0.0393,0.0,0.156,0.682,110.042,222728,4,ESP,EU,84.0
Beny Jr,Samurai,Combo la L,07hvsxeAYfZFgiLiBos6Pz,0.859,0.616,0,-5.645,0,0.129,0.196,0.0935,0.722,137.054,168571,4,ESP,EU,75.0
