artist,album,track_name,track_id,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,country,continent,popularity
Marwan Pablo,CTRL,CTRL,2lj1RNDztkIsyzhAX2soEa,0.795,0.49,4,-14.784,0,0.209,0.00164,0.102,0.364,136.036,185299,4,EGY,AFRICA,52.0
Lege-Cy,إتنين بليل,إتنين بليل,4TMAPif5tmTMoqGHtwDsFt,0.661,0.407,11,-12.437,0,0.159,2.17e-05,0.236,0.231,97.924,201441,4,EGY,AFRICA,49.0
Moscow,كابتن,كابتن,6dR03uJtlIIIfQsf6EuesI,0.734,0.642,8,-9.592,0,0.295,0.000279,0.33,0.554,142.977,178322,4,EGY,AFRICA,45.0
Jaymes Young,Feel Something,Infinity,1SOClUWhOi8vHZYMz3GluK,0.671,0.673,11,-6.941,0,0.0444,5.29e-05,0.304,0.494,121.963,237720,4,EGY,AFRICA,95.0
Bizarrap,"Tiago PZK: Bzrp Music Sessions, Vol. 48","Tiago PZK: Bzrp Music Sessions, Vol. 48",2Gq636OOGgxCTqEuzCZhsa,0.656,0.823,1,-3.059,0,0.315,0.0,0.103,0.755,96.474,160000,4,ARG,SOUTH-AM,89.0
Tiago PZK,Entre Nosotros (Remix) [con Nicki Nicole],Entre Nosotros (Remix) [con Nicki Nicole],4TGwERXRlyQtBdggYTHo6j,0.7,0.438,5,-5.784,0,0.0433,0.0,0.373,0.605,170.106,260000,3,ARG,SOUTH-AM,88.0
Duki,Temporada de Reggaetón,TOP 5,7JZ5mOTea5T4LH0UdwCsWx,0.853,0.824,2,-3.384,1,0.214,2.68e-05,0.11,0.693,100.05,146815,4,ARG,SOUTH-AM,83.0
TINI,Bar,Bar,0lJE8f0lx8mUSfMyxeYpiC,0.523,0.691,1,-3.802,1,0.0833,0.0,0.327,0.677,94.148,160213,4,ARG,SOUTH-AM,87.0
Salastkbron,TITAN,TITAN,2cR9cH9ta7MStHBKs0aOcz,0.725,0.49,5,-9.487,0,0.187,0.0,0.0978,0.96,180.042,122137,4,ARG,SOUTH-AM,68.0
FMK,Tranquila,Tranquila,5NMPnWUDvXr8Vnauv7I7YZ,0.755,0.53,11,-4.92,0,0.059,2.64e-05,0.0803,0.74,96.006,183431,4,ARG,SOUTH-AM,77.0
Tiago PZK,Salimo de Noche,Salimo de Noche,6P096SaOzrgGxs8NWOfX7M,0.669,0.628,2,-4.177,1,0.0526,1.83e-05,0.124,0.784,83.803,177857,4,ARG,SOUTH-AM,89.0
Kaleb Di Masi,Hace Calor,Hace Calor,5j3wzSS6z80VEs71O0gysC,0.905,0.55,5,-6.466,0,0.0674,0.119,0.0817,0.362,129.976,201197,4,ARG,SOUTH-AM,80.0
Trueno,Dance Crip,DANCE CRIP,1kjs5eR4DMzyB0gm1Z8waV,0.857,0.766,0,-3.699,1,0.0978,0.0,0.0817,0.864,106.024,165019,4,ARG,SOUTH-AM,88.0
Rauw Alejandro,VICE VERSA,Desesperados,6mmPpaltUZK7xjNlBPQQ0p,0.869,0.694,1,-3.35,0,0.0783,0.00125,0.0878,0.511,90.02,224997,4,ARG,SOUTH-AM,83.0
MYA,SUENA MYA!,BB,3sVuWmggRqfAK3qk7OIEAz,0.769,0.764,1,-4.709,1,0.181,0.0,0.088,0.846,88.06,156326,4,ARG,SOUTH-AM,78.0
Los Ángeles Azules,Otra Noche,Otra Noche,5i82o3878xCPNCUK8VIeqX,0.605,0.711,8,-4.09,1,0.0379,0.0,0.0501,0.645,91.999,199120,4,ARG,SOUTH-AM,58.0
La K'onga,Universo Paralelo,Universo Paralelo,6LBpjWMfy1NUfyxAJbcMRs,0.619,0.739,4,-5.743,1,0.167,0.0,0.285,0.672,149.975,217072,4,ARG,SOUTH-AM,71.0
Emilia,Rápido Lento,Rápido Lento,4xv2A022v5A8nyewDkYOkQ,0.793,0.352,8,-7.675,1,0.0955,0.0,0.175,0.666,80.014,213000,4,ARG,SOUTH-AM,81.0
Callejero Fino,Pa Tra Rkt,Pa Tra Rkt,1CpRJLarXSUho5AopXxNQj,0.748,0.748,1,-6.05,1,0.0679,0.0,0.603,0.544,89.99,191125,4,ARG,SOUTH-AM,78.0
Emilia,De Enero a Diciembre,De Enero a Diciembre,1p22yVi9e8DT6BEUvOZ0TL,0.85,0.442,7,-5.779,1,0.061,0.0,0.111,0.574,94.946,164289,4,ARG,SOUTH-AM,78.0
Rusherking,Antes de Ti,Antes de Ti,23R68uWGdp07SwQdK8mWzI,0.845,0.612,11,-3.805,0,0.0426,0.0,0.0671,0.771,127.958,207187,4,ARG,SOUTH-AM,80.0
Fuego,Una Vaina Loca,Una Vaina Loca,2qEoAz0i6yEz5dPggABcLH,0.811,0.588,1,-3.161,1,0.0464,0.0004,0.0929,0.553,107.022,226187,4,ARG,SOUTH-AM,85.0
Blessd,Hecho En Medellín,Medallo,6lX6l7OuA3qrnIRfdsr0dw,0.787,0.7,4,-4.598,0,0.0768,0.00051,0.663,0.791,90.02,233453,4,ARG,SOUTH-AM,91.0
Mau y Ricky,Mal Acostumbrao,Mal Acostumbrao,1wcE84DVQUF16xudVFzezL,0.86,0.516,6,-5.518,0,0.145,0.0,0.0791,0.591,98.005,190406,4,ARG,SOUTH-AM,83.0
Emilia,Como Si No Importara,Como Si No Importara,1GYJpuLq41vEVKXiHGEY9j,0.843,0.534,1,-6.658,0,0.142,0.0,0.0984,0.528,94.984,173053,4,ARG,SOUTH-AM,81.0
La K'onga,El Mismo Aire,El Mismo Aire,7onMf0QvWgRba2MRxG27yj,0.762,0.748,0,-6.273,0,0.0407,0.0,0.128,0.822,149.985,209415,4,ARG,SOUTH-AM,72.0
Kaleb Di Masi,KALEB DI MASI | DJ TAO Turreo Sessions #5,KALEB DI MASI | DJ TAO Turreo Sessions #5,3xnzkgl56WCFFzLxQ8c07L,0.787,0.853,11,-4.629,0,0.354,0.000173,0.24,0.669,176.131,147658,4,ARG,SOUTH-AM,79.0
