id,name,album,album_id,artists,artist_ids,track_number,disc_number,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,year,release_date,popularity
1QDHYeaYbJs6CnDzdw7i7j,A Tabla for Two,"Sitar Power 2 - A fusion of rock, jazz, R&B, country with Indian music",1IGKQz9ls2B7JM1drwFQxm,['Ashwin Batish'],['2CcRQHRn7NpGBSSjFIVbAU'],8,1,False,0.638,0.92,7,-10.134,1,0.0417,0.124,0.765,0.0383,0.916,130.20600000000002,242800,4.0,1995,1995,1
4EErYrJG8Aog0SbqXL8Ugu,"Cantata misericordium, Op. 69: En alter in conspectum venit","Britten, Finzi & Holst: Sacred Works",4489DcJZyK7GSOnLVTdSR3,"['Benjamin Britten', 'John Mark Ainsley', 'Stephen Varcoe', 'Nicholas Ward', 'Edward Roberts', 'Stephen Tees', 'Susan Dorey', 'Britten Singers', 'City of London Sinfonia', 'Richard Hickox']","['7MJ1pB5d6Vjmzep2zQlorn', '40R0F7x3senon0SHMXdoz3', '0TU5B5Zchs3He9YQYXhC1S', '4fgDrYK3Ua8O0eV4cU8Pl2', '3US00SxO5YXWVj1krAxCfo', '2yzamcOiFNYWOFbrUBZwzi', '27xLDFtFheroy3H1JlBX1J', '36wuejyZG7yRcX9aLmivlh', '4JKHXlntTvmZnLxjbeRcPL', '27sxIn9cqlHftnewCLqEFd']",10,1,False,0.266,0.2289999999999999,2,-24.361,1,0.0453,0.918,0.113,0.0952,0.16,83.975,108067,4.0,2013,2013,0
4CNYtLtsUbbNUvSJDrZM2m,The Ballinamore / Golden Locks / Bean A' Tí Ar Lár,An Spealadóir,3ByOA1IDU8q4e7nRvXszoP,['Bua'],['0dGaJ7Q1uguyVrlGC6TaqG'],9,1,False,0.451,0.8009999999999999,2,-6.474,1,0.0424,0.2239999999999999,0.943,0.3339999999999999,0.935,115.519,208520,4.0,2009,2009-01-01,5
1YnA4yMGl1CAHDVPcmxXGP,"English Pastoral Impressions, Op. 26: III. Over the Hills and Far Away: Allegro moderato",Farrar: Orchestral Works,00t3iZLtfVTUOwJODy5yVj,"['Ernest Bristow Farrar', 'Philharmonia Orchestra', 'Alasdair Mitchell']","['4Wl3kuwqeKGqGTUncsDIrP', '09KZU0NsS7jRa5p0SflmGY', '179TL1zyAcddQov56oBvuS']",7,1,False,0.225,0.0212,2,-22.611,0,0.0411,0.983,0.897,0.0774,0.0742,117.984,181333,4.0,2013,2013,0
7uDL2daonmZH6rz9uQFbNm,Keyboard Sonata No. 1 in A Major,"Soler: Harpsichord Sonatas, Vol. Ii",69RWn4pvr95viCUm7sHfVo,"['Antonio Soler', 'David Schrader']","['5kUi36wXiRNh6Ib7DnIy4f', '5fix52YJ37po5ApigvBswd']",1,1,False,0.361,0.3720000000000001,1,-18.283,1,0.0293,0.204,0.359,0.103,0.912,89.116,261893,4.0,2000,2000-01-01,0
0VNcCK8x3QFQadiQhZxlsT,I Wonder What Became of Me,Havin' Myself a Time!,0WCUn9d0oVHiewndn50Tvu,['Faith Winthrop'],['1k5CjKL6sXI2WOqf1UFfhE'],9,1,False,0.479,0.309,9,-16.649,0,0.144,0.965,0.0105,0.937,0.2239999999999999,108.434,173147,3.0,2001,2001-01-01,0
6flCLnjmolGXaltn3WtinL,Let Thy Will Be Done,The Praise & Worship Songs of Yolanda Adams,6Jo35G5Ti3q03X1NIAoX85,['Yolanda Adams'],['47opbYEKDjXnRk9uLscp11'],4,1,False,0.534,0.4370000000000001,7,-7.046,1,0.0295,0.242,0.0,0.513,0.304,136.151,297893,4.0,2004,2004-10-05,9
5di8HH4VvM8GVjrPIWEypK,Nothing Ever Changes,Face Of Stephen,0THCKSxZCN1dzKLQwWuZkY,['Stinging Rain'],['6zxLtaSx4BxT293TV38InV'],10,1,False,0.522,0.267,7,-15.696,1,0.0278,0.0615,5.12e-06,0.0556,0.211,108.723,243467,4.0,1993,1993,0
7MxMuozwVWtce7zF5OAmt6,"Concerto for Violoncello and Strings in A Major, Wq 172: III. Allegro assai",Concerti Brillanti,07X2ic635XvAQYSOC1bAlk,"['Carl Philipp Emanuel Bach', 'Jan Vogler', 'Reinhard Goebel']","['3meioy7GWDwpwmjv2LPyAb', '3LcP8zEKaPiCG1s5MlMWJA', '6aZcT9sJMlL0yUOrEWa74E']",3,1,False,0.297,0.265,4,-18.018,1,0.0476,0.959,0.887,0.231,0.6829999999999999,72.583,308267,4.0,2007,2007-09-14,17
12PocSom3HxIlKTu7DppO7,I Love to Fly,Static Waves 4,7cdOt4aOpFOHMUix7WeFFR,['Mark Van Hoen'],['7mEHndkM91rEPLkC8LfYx3'],11,1,False,0.4539999999999999,0.276,0,-19.588,1,0.039,0.123,0.855,0.0764,0.541,180.764,288400,4.0,2015,2015-11-27,0
